,lat,lon,value
0,37.54736393388889,126.98169347555556,-44.29
1,37.54734691833333,126.98186511472223,-42.05
2,37.547500058333334,126.98201529722222,-35.66
3,37.54761916694444,126.98218693638889,-37.62
4,37.54775529111111,126.98231566416666,-44.3
5,37.547891416666666,126.9823800288889,-41.97
6,37.54802754083333,126.9823800288889,-38.62
7,37.54818068083333,126.98235857444445,-34.58
8,37.54836785222222,126.98231566416666,-41.37
9,37.54855502222222,126.98225129972222,-40.5
10,37.548691147777774,126.98218693638889,-44.18
11,37.54886130333333,126.98203675277777,-35.11
12,37.549014443333334,126.98195093361112,-41.19
13,37.54921862916667,126.98190802361111,-36.82
14,37.54937176916666,126.98188656916666,-34.93
15,37.54954192472222,126.98182220472222,-31.08
16,37.549678049166666,126.98175784,-28.3
17,37.54981417444444,126.98169347555556,-42.15
18,37.54995029861111,126.9816505663889,-42.27
19,37.55010343861111,126.98160765638889,-28.99
20,37.55027359416666,126.9815647475,-38.63
21,37.55044374972222,126.98145747277778,-41.82
22,37.550579874166665,126.98143601833334,-46.01
23,37.55075002972222,126.98143601833334,-48.51
24,37.550920185277775,126.98147892833333,-43.92
25,37.55107332527778,126.98147892833333,-38.92
26,37.55124348083333,126.98150038305556,-39.69
27,37.55141363638889,126.98143601833334,-36.29
28,37.55156677638889,126.98135019944445,-30.85
29,37.551702901111106,126.98130728944444,-36.09
30,37.551753947499996,126.9811356513889,-29.35
31,37.55185604083333,126.98094255861112,-27.92
32,37.55183902555555,126.98072801055555,-31.96
33,37.55183902555555,126.9805563725,-34.0
34,37.55183902555555,126.98036327888889,-36.77
35,37.5519070875,126.98019164083334,-31.68
36,37.551941118888884,126.97999854833334,-41.79
37,37.55207724333333,126.97980545472223,-48.04
38,37.55223038333333,126.97967672666667,-49.09
39,37.5523665075,126.97956945194444,-48.98
40,37.55250263222222,126.97941926861111,-49.22
41,37.55265577222222,126.97926908611112,-46.16
42,37.55279189666666,126.97914035694444,-46.6
43,37.55292802083333,126.97905453777778,-47.11
44,37.55306414555555,126.97886144416667,-43.17
45,37.55320027,126.97875417083334,-45.02
46,37.55333639444444,126.97866835166667,-47.33
47,37.55348953472222,126.97866835166667,-46.45
48,37.55362565888888,126.9786898061111,-45.7
49,37.55376178333333,126.97875417083334,-40.66
50,37.55359162777778,126.97883998972222,-44.99
51,37.55342147222222,126.97886144416667,-44.99
52,37.55325131666666,126.97894726333334,-43.39
53,37.553098176666666,126.97909744694445,-40.9
54,37.55292802083333,126.97929054055555,-45.8
55,37.55279189666666,126.97944072416666,-38.46
56,37.55263875666667,126.97965527111111,-39.86
57,37.55246860111111,126.97989127361112,-43.21
58,37.5523665075,126.98008436722222,-36.92
59,37.55223038333333,126.98032037,-39.31
60,37.552145305555555,126.98064219166667,-35.9
61,37.552145305555555,126.98081382972222,-34.14
62,37.552162321111105,126.98098546777778,-34.69
63,37.55217933666666,126.98117856138889,-39.02
64,37.55219635222222,126.98135019944445,-34.03
65,37.552213367499995,126.98158620194445,-31.35
66,37.55219635222222,126.98177929444445,-32.8
67,37.55217933666666,126.98195093361112,-40.63
68,37.55224739861111,126.98212257166666,-35.19
69,37.55238352333333,126.98222984527779,-29.36
70,37.55251964777778,126.98229420972223,-35.97
71,37.55267278777777,126.98235857444445,-30.48
72,37.55280891194444,126.98240148333333,-31.46
73,37.552945036666664,126.98244439333334,-40.1
74,37.55311519222222,126.98235857444445,-39.44
75,37.55325131666666,126.98225129972222,-35.58
76,37.55337042583333,126.98205820722222,-36.33
77,37.55347251888889,126.98184365916667,-33.91
78,37.553557596666664,126.9816505663889,-37.97
79,37.55359162777778,126.98147892833333,-40.26
80,37.553659689999996,126.98128583472223,-38.2
81,37.55381283027778,126.98122147027777,-36.83
82,37.55396597027777,126.98130728944444,-39.97
83,37.55410209444444,126.98139310944444,-38.11
84,37.554238218888884,126.98128583472223,-33.25
85,37.55427225,126.98111419666667,-31.57
86,37.55413612583333,126.98100692333334,-34.82
87,37.55398298555555,126.98092110416667,-31.34
88,37.553846861388884,126.98107128666666,-34.59
89,37.55369372138889,126.98117856138889,-38.3
90,37.553608643611106,126.98135019944445,-35.74
91,37.55354058111111,126.98154329194445,-34.03
92,37.55347251888889,126.98173638555556,-30.84
93,37.553387441111106,126.98192947805556,-30.14
94,37.55328534777777,126.98214402611111,-33.31
95,37.553166238888885,126.98231566416666,-35.16
96,37.55303011444444,126.98242293888889,-37.48
97,37.552876974444445,126.98240148333333,-39.76
98,37.55274085,126.98233711972222,-31.24
99,37.552604725277774,126.98227275527778,-29.24
100,37.55245158527777,126.98218693638889,-32.23
101,37.552332476388884,126.98199384277778,-23.89
102,37.552332476388884,126.98180075,-24.05
103,37.55231546111111,126.98160765638889,-29.58
104,37.55228142972222,126.98141456388889,-30.54
105,37.552264414444444,126.98124292583333,-31.03
106,37.55223038333333,126.98107128666666,-33.0
107,37.55219635222222,126.98085673972223,-31.72
